DISTRICT,STATION,TEMP,RH,WBGT,EHI,EHI_REGION,EHI_350 (shaded),REGION_350 (shaded),LOGGED_AT,LOGGED_AT (PST),EHI_350 (in shade),REGION_350 (in shade),Light Work Heat Stress Zone,,Hard Labor Heat Stress Zone,LOGGED_AT (IST),2025-05-03 08:27:28CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:27:28,CENTRAL_DELHI,PRAGATI_MAIDAN,25.3,86.0,27.4Zone 4,27.4,Zone 4,57.3Zone 5,57.3,Zone 5,2025-05-03 08:31:46CENTRAL_DELHIPRAGATI_MAIDAN25.386.0,2025-05-03 08:31:46
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,26.5,83.0,,29.2,,,,,,59.8,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,27.3,75.0,,29.9,,,,,,59.3,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,25.9,99.0,,29.8,,,,,,62.3,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,28.0,80.0,,31.8,,,,,,61.6,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,25.6,84.0,,27.7,,,,,,57.5,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,26.3,83.0,,28.9,,,,,,59.5,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,26.7,72.0,,28.6,,,,,,53.8,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
DELHI,IGNOU,26.4,80.0,,28.8,,,,,,59.0,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,25.7,89.0,,28.3,,,,,,59.8,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,27.2,73.0,,29.5,,,,,,57.7,,Zone 4,,Zone 5,2025-05-03 09:13:44,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,26.6,100.0,,31.6,,,,,,63.8,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,28.5,79.0,,32.8,,,,,,62.2,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,28.1,69.0,,30.6,,,,,,59.1,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,28.5,87.0,,34.3,,,,,,64.2,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,26.7,81.0,,29.4,,,,,,59.7,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,26.4,100.0,,31.1,,,,,,63.4,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,26.5,83.0,,29.2,,,,,,59.8,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,27.9,70.0,,30.4,,,,,,59.0,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,26.3,99.0,,30.7,,,,,,63.0,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,28.0,80.0,,31.8,,,,,,61.6,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,25.6,84.0,,27.7,,,,,,57.5,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,27.5,79.0,,30.7,,,,,,60.6,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,27.2,69.0,,29.1,,,,,,54.0,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
DELHI,IGNOU,27.2,77.0,,29.9,,,,,,59.6,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,26.4,86.0,,29.4,,,,,,60.4,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,27.2,73.0,,29.5,,,,,,57.7,,Zone 4,,Zone 5,2025-05-03 09:27:37,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,27.1,94.0,,31.9,,,,,,63.4,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,29.1,76.0,,33.6,,,,,,62.5,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,28.1,69.0,,30.6,,,,,,59.1,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,28.9,83.0,,34.5,,,,,,63.9,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,27.2,81.0,,30.4,,,,,,60.5,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,26.2,100.0,,30.6,,,,,,63.1,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,28.3,68.0,,30.8,,,,,,59.1,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,26.4,99.0,,30.9,,,,,,63.2,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,27.9,71.0,,30.5,,,,,,59.3,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,27.3,69.0,,29.2,,,,,,54.6,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
DELHI,IGNOU,28.1,72.0,,31.0,,,,,,59.8,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,26.8,81.0,,29.6,,,,,,59.9,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,27.2,76.0,,29.8,,,,,,59.4,,Region 4,,Region 5,2025-05-03 09:41:02,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,26.4,96.0,,30.5,,,,,,62.6,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,28.2,86.0,,33.3,,,,,,63.4,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,27.6,92.0,,32.8,,,,,,63.8,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,29.1,66.0,,32.0,,,,,,59.9,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,25.8,84.0,,28.1,,,,,,58.7,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,28.2,77.0,,31.8,,,,,,61.2,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,28.6,64.0,,30.9,,,,,,57.4,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,27.7,95.0,,33.7,,,,,,64.6,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,25.6,99.0,,29.1,,,,,,61.8,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,26.8,79.0,,29.4,,,,,,59.4,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
DELHI,IGNOU,28.9,61.0,,31.0,,,,,,56.1,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,28.9,62.0,,31.1,,,,,,57.1,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,26.4,78.0,,28.6,,,,,,57.3,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,28.9,62.0,,31.1,,,,,,57.1,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,28.7,65.0,,31.1,,,,,,58.9,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,30.6,61.0,,34.0,,,,,,60.8,,Region 4,,Region 5,2025-05-03 10:39:17,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.8,77.0,,35.5,,,,,,63.9,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,30.1,73.0,,35.3,,,,,,63.3,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,30.8,59.0,,34.0,,,,,,60.5,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,31.0,61.0,,34.8,,,,,,61.4,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,29.8,84.0,,37.3,,,,,,65.7,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,27.9,93.0,,33.8,,,,,,64.5,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,30.7,66.0,,35.2,,,,,,62.4,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,27.7,99.0,,34.5,,,,,,65.5,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,31.7,55.0,,35.0,,,,,,60.7,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,31.0,47.0,,32.4,,,,,,52.3,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,31.3,48.0,,33.1,,,,,,55.2,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
DELHI,IGNOU,30.6,53.0,,32.7,,,,,,57.1,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,28.8,70.0,,32.0,,,,,,60.4,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,29.9,59.0,,32.4,,,,,,59.2,,Region 4,,Region 5,2025-05-03 11:42:16,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,31.9,60.0,,36.5,,,,,,62.5,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,30.6,59.0,,33.7,,,,,,60.2,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,31.2,71.0,,37.7,,,,,,64.6,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,31.9,58.0,,36.0,,,,,,61.9,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,32.1,53.0,,35.3,,,,,,60.7,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,31.5,73.0,,39.1,,,,,,65.6,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,30.8,53.0,,33.0,,,,,,58.2,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,30.2,79.0,,37.1,,,,,,65.1,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,29.6,89.0,,38.7,,,,,,66.6,,Region 5,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,30.1,66.0,,33.9,,,,,,61.4,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
DELHI,IGNOU,31.8,42.0,,32.9,,,,,,50.3,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,30.8,41.0,,31.4,,,,,,44.4,,Region 4,,Region 4,2025-05-03 12:39:06,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,31.1,53.0,,33.5,,,,,,59.2,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,32.0,45.0,,33.7,,,,,,55.3,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,32.9,41.0,,34.4,,,,,,55.0,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,31.2,46.0,,32.6,,,,,,52.2,,Region 4,,Region 5,2025-05-03 12:39:06,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,31.8,53.0,,34.8,,,,,,60.2,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,32.9,57.0,,37.9,,,,,,63.1,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,34.0,46.0,,37.3,,,,,,61.2,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,33.1,48.0,,36.1,,,,,,60.5,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,32.6,73.0,,45.0,,,,,,67.5,,Region 5,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,33.0,43.0,,34.9,,,,,,58.0,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,33.1,41.0,,34.7,,,,,,56.0,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,30.9,51.0,,32.9,,,,,,56.5,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,35.1,40.0,,37.7,,,,,,60.6,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,33.1,36.0,,33.8,,,,,,49.1,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,32.2,38.0,,32.9,,,,,,47.1,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
DELHI,IGNOU,33.0,42.0,,34.7,,,,,,56.8,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,30.8,74.0,,37.4,,,,,,64.7,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,33.5,39.0,,34.9,,,,,,55.4,,Region 4,,Region 5,2025-05-03 13:41:24,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,33.5,56.0,,39.0,,,,,,63.7,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,34.0,41.0,,36.1,,,,,,59.4,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,32.6,52.0,,36.1,,,,,,61.1,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,34.0,50.0,,38.4,,,,,,62.5,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,35.3,36.0,,37.1,,,,,,59.3,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,34.0,41.0,,36.1,,,,,,59.4,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,31.9,50.0,,34.4,,,,,,59.5,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,34.3,43.0,,37.1,,,,,,60.5,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,31.3,51.0,,33.5,,,,,,58.6,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,35.9,35.0,,37.8,,,,,,59.7,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,33.9,35.0,,34.7,,,,,,51.8,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,34.2,40.0,,36.2,,,,,,59.3,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,33.5,35.0,,34.2,,,,,,49.7,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
DELHI,IGNOU,34.1,37.0,,35.4,,,,,,55.8,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,32.1,48.0,,34.4,,,,,,59.1,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,33.0,47.0,,35.7,,,,,,60.1,,Region 4,,Region 5,2025-05-03 14:38:48,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,33.2,48.0,,36.3,,,,,,60.7,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,34.2,52.0,,39.4,,,,,,63.5,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,34.5,42.0,,37.2,,,,,,60.5,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,34.2,43.0,,36.9,,,,,,60.4,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,33.5,57.0,,39.4,,,,,,64.1,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,34.0,44.0,,36.8,,,,,,60.5,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,33.6,46.0,,36.5,,,,,,60.6,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,30.9,59.0,,34.2,,,,,,60.7,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,36.2,33.0,,37.7,,,,,,59.3,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,34.1,37.0,,35.4,,,,,,55.8,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,33.4,37.0,,34.4,,,,,,52.1,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,33.7,31.0,,33.8,,,,,,46.0,,Region 4,,Region 4,2025-05-03 15:38:52,,,,,,,,,,,,,,
DELHI,IGNOU,34.6,34.0,,35.5,,,,,,54.0,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,32.6,50.0,,35.6,,,,,,60.5,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,32.8,48.0,,35.6,,,,,,60.1,,Region 4,,Region 5,2025-05-03 15:38:52,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,32.8,47.0,,35.3,,,,,,59.8,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,33.9,55.0,,39.7,,,,,,64.0,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,33.9,44.0,,36.6,,,,,,60.3,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,33.8,43.0,,36.2,,,,,,59.8,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,33.4,60.0,,40.1,,,,,,64.9,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,33.8,49.0,,37.7,,,,,,61.9,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
GAZIABAD,KV_KAMALA_NEHRU_NAGAR,32.3,47.0,,34.5,,,,,,59.1,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
GURGAON,NORTHCAP_UNIVERSITY,32.6,45.0,,34.6,,,,,,58.4,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,31.1,50.0,,33.0,,,,,,56.5,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
DELHI,PHARMA_SCIENCE_AND_RESEARCH_UN,35.9,38.0,,38.6,,,,,,60.9,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
DELHI,KV_NARAYNA,33.4,39.0,,34.8,,,,,,54.9,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,32.4,39.0,,33.3,,,,,,49.5,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
DELHI,KVK_CRPF_CAMPUS,33.5,35.0,,34.2,,,,,,49.7,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
DELHI,IGNOU,34.3,38.0,,35.9,,,,,,58.1,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,32.0,53.0,,35.1,,,,,,60.5,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,33.5,37.0,,34.5,,,,,,52.6,,Region 4,,Region 5,2025-05-03 16:37:29,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,31.1,62.0,,35.2,,,,,,61.9,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,33.0,45.0,,35.3,,,,,,59.4,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,31.9,50.0,,34.4,,,,,,59.5,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,32.5,61.0,,38.1,,,,,,63.8,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,31.0,55.0,,33.7,,,,,,59.7,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,32.9,57.0,,37.9,,,,,,63.1,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
EAST_DELHI,SALWAN_PUBLIC_SCHOOL,30.5,63.0,,34.2,,,,,,61.2,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
DELHI,KV_JANAKPURI,31.5,44.0,,32.8,,,,,,51.3,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
DELHI,IGNOU,32.6,47.0,,35.0,,,,,,59.5,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
CENTRAL_DELHI,PUSA_AMFU,30.9,57.0,,33.9,,,,,,60.1,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
GAZIABAD,KV2_AIRFORCE_HINDON,30.8,54.0,,33.2,,,,,,59.1,,Region 4,,Region 5,2025-05-03 17:45:10,,,,,,,,,,,,,,
SOUTH_WEST_DELHI,NAJAFGARH,29.6,73.0,,34.2,,,,,,62.5,,Region 4,,Region 5,2025-05-03 18:47:24,,,,,,,,,,,,,,
NORTH_WEST_DELHI,PITAMPURA,30.9,64.0,,35.2,,,,,,62.1,,Region 4,,Region 5,2025-05-03 18:47:24,,,,,,,,,,,,,,
NORTH_WEST_DELHI,MUNGESHPUR,30.9,59.0,,34.2,,,,,,60.7,,Region 4,,Region 5,2025-05-03 18:47:24,,,,,,,,,,,,,,
NORTH_DELHI,DELHI_UNIVERSITY,30.1,61.0,,33.1,,,,,,60.0,,Region 4,,Region 5,2025-05-03 18:47:24,,,,,,,,,,,,,,
NEW_DELHI,SPORTS_COMPLEX,31.6,67.0,,37.6,,,,,,64.1,,Region 4,,Region 5,2025-05-03 18:47:24,,,,,,,,,,,,,,
NEW_DELHI,LODI ROAD,29.9,61.0,,32.7,,,,,,59.7,,Region 4,,Region 5,2025-05-03 18:47:24,,,,,,,,,,,,,,
