LOGGED_AT (IST),DISTRICT,STATION,Local Region,TEMP,RH,EHI (in shade),Light Work Heat Stress Zone,EHI_350 (in shade),Hard Labor Heat Stress Zone,STATE,EHI (in shade °C),EHI_350 (in shade °C),EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-05-24 07:56:14,NIRMAL,BHAINSA_ARG,,25.3,99.0,,Zone 4,,Zone 5,TELANGANA,28.1,61.6,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-05-24 07:56:14,NALGONDA,DEVARAKONDA,,29.8,63.0,,Zone 4,,Zone 5,TELANGANA,32.6,60.4,32.6,Zone 4,59.3,Zone 5,38.6,Zone 4,62.5,Zone 5,48.8,Zone 5,64.9,Zone 5,60.4,Zone 5,66.7,Zone 5
2025-05-24 07:56:14,TIRUVALLUR,TIRUTTANI_PTO_ISRO,,28.1,82.0,,Zone 4,,Zone 5,TAMIL_NADU,31.4,62.1,31.4,Zone 4,61.0,Zone 5,38.3,Zone 4,64.0,Zone 5,56.8,Zone 5,66.2,Zone 5,62.1,Zone 5,67.8,Zone 5
2025-05-24 07:56:14,TIRUVANNAMALAI,CHEYYAR,,27.8,93.0,,Zone 4,,Zone 5,TAMIL_NADU,33.3,64.7,33.3,Zone 4,63.7,Zone 5,50.8,Zone 5,66.2,Zone 5,61.5,Zone 5,68.1,Zone 5,64.7,Zone 5,69.9,Zone 6
2025-05-24 07:56:14,TIRUVANNAMALAI,TIRUVANNAMALAI_ISRO,,26.5,79.0,,Zone 4,,Zone 5,TAMIL_NADU,28.2,58.5,28.2,Zone 4,54.2,Zone 5,34.4,Zone 4,61.2,Zone 5,41.7,Zone 5,63.8,Zone 5,58.5,Zone 5,65.7,Zone 5
2025-05-24 07:56:14,TIRUVARUR,TIRUVARUR,,26.6,100.0,,Zone 4,,Zone 5,TAMIL_NADU,30.5,63.6,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-05-24 07:56:14,VELLORE,VIRINJIPURAM_KVK,,26.4,87.0,,Zone 4,,Zone 5,TAMIL_NADU,28.9,60.7,28.9,Zone 4,59.6,Zone 5,35.7,Zone 4,62.8,Zone 5,50.3,Zone 5,65.1,Zone 5,60.7,Zone 5,66.9,Zone 5
2025-05-24 07:56:14,VIRUDHUNAGAR,ARUPPUKOTTAI_KVK,,28.2,71.0,,Zone 4,,Zone 5,TAMIL_NADU,30.0,59.4,30.0,Zone 4,56.2,Zone 5,36.1,Zone 4,61.6,Zone 5,43.9,Zone 5,64.1,Zone 5,59.4,Zone 5,66.0,Zone 5
2025-05-24 07:56:14,ADILABAD,ADILABAD_KVK,,26.2,100.0,,Zone 4,,Zone 5,TELANGANA,29.3,62.7,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
2025-05-24 07:56:14,HANUMAKONDA,HANUMAKONDA,,26.4,89.0,,Zone 4,,Zone 5,TELANGANA,29.2,61.1,29.2,Zone 4,60.0,Zone 5,36.1,Zone 4,63.2,Zone 5,52.5,Zone 5,65.5,Zone 5,61.1,Zone 5,67.2,Zone 5
