STATE,DISTRICT,STATION,TEMP,DATE_TEMP,TIME_TEMP,RH,DATE_RH,TIME_RH,LOGGED_AT (IST),EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
Andhra Pradesh,Visakhapatnam,Gangavaram Port,28.7,2026-08-31,01:00:00,82.0,2026-08-30,01:00:00,2026-08-31 01:18:56,32.5,Zone 4,62.9,Zone 5,32.5,Zone 4,61.9,Zone 5,40.6,Zone 5,64.7,Zone 5,59.4,Zone 5,66.8,Zone 5,62.9,Zone 5,68.4,Zone 5
Andhra Pradesh,Visakhapatnam,Mehadrigadda Dam,40.8,2026-08-31,01:15:00,82.0,2026-08-30,01:15:00,2026-08-31 01:18:56,93.6,Zone 6,103.9,Zone 6,93.6,Zone 6,102.0,Zone 6,97.1,Zone 6,105.5,Zone 6,100.5,Zone 6,108.8,Zone 6,103.9,Zone 6,112.1,Zone 6
Andhra Pradesh,Vizianagaram,Bobbili,26.6,2026-08-31,01:15:00,87.0,2026-08-30,01:15:00,2026-08-31 01:18:56,28.9,Zone 4,60.7,Zone 5,28.9,Zone 4,59.6,Zone 5,35.7,Zone 4,62.8,Zone 5,50.3,Zone 5,65.1,Zone 5,60.7,Zone 5,66.9,Zone 5
Andhra Pradesh,Vizianagaram,Vizianagaram,28.4,2026-08-31,01:00:00,84.0,2026-08-30,01:00:00,2026-08-31 01:18:56,32.9,Zone 4,63.4,Zone 5,32.9,Zone 4,62.4,Zone 5,43.2,Zone 5,65.1,Zone 5,60.0,Zone 5,67.2,Zone 5,63.4,Zone 5,68.7,Zone 5
Andhra Pradesh,West Godavari,Bhimavaram,,,,78.0,2026-08-30,01:00:00,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,West Godavari,Kv Gopannapalem Eluru,26.9,2026-08-31,01:00:00,56.0,2026-08-30,01:00:00,2026-08-31 01:18:56,27.2,Zone 4,41.5,Zone 4,27.2,Zone 4,40.4,Zone 4,32.3,Zone 4,51.4,Zone 5,37.0,Zone 4,60.1,Zone 5,41.5,Zone 4,62.5,Zone 5
Andhra Pradesh,West Godavari,Maruteru,28.8,2026-08-31,01:00:00,93.0,2026-08-30,01:00:00,2026-08-31 01:18:56,36.4,Zone 4,66.4,Zone 5,36.4,Zone 4,65.5,Zone 5,59.5,Zone 5,67.8,Zone 5,63.6,Zone 5,69.6,Zone 6,66.4,Zone 5,73.1,Zone 6
Andhra Pradesh,West Godavari,Narsapur,28.0,2026-08-31,01:00:00,,,,2026-08-31 01:18:56,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Ysr Kadapa,Agricultural College  Badvel,28.8,2026-08-31,01:00:00,61.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.6,Zone 4,56.5,Zone 5,30.6,Zone 4,52.0,Zone 5,36.2,Zone 4,60.7,Zone 5,41.4,Zone 4,63.3,Zone 5,56.5,Zone 5,65.3,Zone 5
Arunachal Pradesh,Changlang,Miao,28.1,2026-08-31,00:45:00,84.0,2026-08-30,00:45:00,2026-08-31 01:18:56,31.7,Zone 4,62.5,Zone 5,31.7,Zone 4,61.5,Zone 5,38.8,Zone 4,64.4,Zone 5,58.9,Zone 5,66.5,Zone 5,62.5,Zone 5,68.2,Zone 5
Arunachal Pradesh,Dibang Valley,Anini,19.6,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,20.2,Zone 3,35.0,Zone 4,20.2,Zone 3,33.8,Zone 4,25.1,Zone 3,42.6,Zone 5,30.1,Zone 4,56.1,Zone 5,35.0,Zone 4,60.8,Zone 5
Arunachal Pradesh,East Kameng,Seppa Pampoli,27.2,2026-08-31,01:00:00,92.0,2026-08-30,01:00:00,2026-08-31 01:18:56,30.6,Zone 4,62.7,Zone 5,30.6,Zone 4,61.6,Zone 5,39.4,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
Arunachal Pradesh,East Siang,Pashighat,27.6,2026-08-31,01:00:00,90.0,2026-08-30,01:00:00,2026-08-31 01:18:56,31.5,Zone 4,63.1,Zone 5,31.5,Zone 4,62.0,Zone 5,41.6,Zone 5,64.9,Zone 5,59.6,Zone 5,66.9,Zone 5,63.1,Zone 5,68.5,Zone 5
Arunachal Pradesh,Kamle,Raga,22.2,2026-08-31,01:00:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,23.2,Zone 3,46.0,Zone 5,23.2,Zone 3,41.4,Zone 5,28.6,Zone 4,57.0,Zone 5,34.2,Zone 4,61.4,Zone 5,46.0,Zone 5,63.6,Zone 5
Arunachal Pradesh,Kurung Kumey,Koloraing,22.0,2026-08-31,01:15:00,100.0,2026-08-30,01:15:00,2026-08-31 01:18:56,23.2,Zone 3,46.0,Zone 5,23.2,Zone 3,41.4,Zone 5,28.6,Zone 4,57.0,Zone 5,34.2,Zone 4,61.4,Zone 5,46.0,Zone 5,63.6,Zone 5
Arunachal Pradesh,Kurung Kumey,Nyapin,23.6,2026-08-31,00:30:00,100.0,2026-08-30,01:00:00,2026-08-31 01:18:56,24.8,Zone 3,56.4,Zone 5,24.8,Zone 3,51.8,Zone 5,31.2,Zone 4,60.7,Zone 5,39.2,Zone 5,63.3,Zone 5,56.4,Zone 5,65.3,Zone 5
