LOGGED_AT (IST),STATE,DISTRICT,STATION,TEMP,RH,EHI (in shade °C),Light Work Heat Stress Zone,EHI_350 (in shade °C),Hard Labor Heat Stress Zone,EHI_3_shade,Zone_3_shade,EHI_3_sun,Zone_3_sun,EHI_4_shade,Zone_4_shade,EHI_4_sun,Zone_4_sun,EHI_5_shade,Zone_5_shade,EHI_5_sun,Zone_5_sun,EHI_6_shade,Zone_6_shade,EHI_6_sun,Zone_6_sun
2025-08-18 00:39:49,RAJASTHAN,HANUMANGARH,HANUMANGARH 1_KVK,27.7,100.0,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-08-18 00:39:49,RAJASTHAN,HANUMANGARH,NOHAR,28.1,100.0,34.8,Zone 4,66.3,Zone 5,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-08-18 00:39:49,RAJASTHAN,JAIPUR,AMITY_UNIVERSITY,27.4,100.0,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-08-18 00:39:49,RAJASTHAN,JAISALMER,JAISALMER,26.7,85.0,28.8,Zone 4,60.2,Zone 5,28.8,Zone 4,59.1,Zone 5,35.4,Zone 4,62.4,Zone 5,48.1,Zone 5,64.8,Zone 5,60.2,Zone 5,66.6,Zone 5
2025-08-18 00:39:49,RAJASTHAN,ALWAR,ALWAR,28.1,99.0,34.6,Zone 4,66.0,Zone 5,34.6,Zone 4,65.1,Zone 5,58.6,Zone 5,67.5,Zone 5,63.1,Zone 5,69.2,Zone 5,66.0,Zone 5,72.3,Zone 6
2025-08-18 00:39:49,RAJASTHAN,JALORE,JALORE_KVK,28.6,85.0,33.1,Zone 4,63.6,Zone 5,33.1,Zone 4,62.6,Zone 5,44.6,Zone 5,65.3,Zone 5,60.3,Zone 5,67.3,Zone 5,63.6,Zone 5,68.9,Zone 5
2025-08-18 00:39:49,RAJASTHAN,JHUNJHUNU,PILANI,25.1,91.0,26.6,Zone 4,59.0,Zone 5,26.6,Zone 4,54.9,Zone 5,33.1,Zone 4,61.3,Zone 5,42.4,Zone 5,63.9,Zone 5,59.0,Zone 5,65.8,Zone 5
2025-08-18 00:39:49,RAJASTHAN,JODHPUR,JODHPUR,31.8,75.0,40.7,Zone 4,67.0,Zone 5,40.7,Zone 4,66.1,Zone 5,60.3,Zone 5,68.3,Zone 5,64.3,Zone 5,70.6,Zone 6,67.0,Zone 5,74.1,Zone 6
2025-08-18 00:39:49,RAJASTHAN,NAGAUR,KRISHI_VISHWAVIDHYALAYA,29.9,74.0,34.6,Zone 4,63.4,Zone 5,34.6,Zone 4,62.3,Zone 5,43.1,Zone 5,65.1,Zone 5,60.0,Zone 5,67.2,Zone 5,63.4,Zone 5,68.7,Zone 5
2025-08-18 00:39:49,RAJASTHAN,PRATAPGARH,PRATAPGARH,24.5,100.0,26.3,Zone 4,60.0,Zone 5,26.3,Zone 4,58.6,Zone 5,33.2,Zone 4,62.2,Zone 5,47.0,Zone 5,64.6,Zone 5,60.0,Zone 5,66.5,Zone 5
2025-08-18 00:39:49,RAJASTHAN,SIKAR,FATEHPUR_AMFU,27.9,91.0,32.9,Zone 4,64.2,Zone 5,32.9,Zone 4,63.2,Zone 5,47.9,Zone 5,65.8,Zone 5,60.9,Zone 5,67.8,Zone 5,64.2,Zone 5,69.3,Zone 5
2025-08-18 00:39:49,RAJASTHAN,SIKAR,SIKAR,28.0,90.0,32.7,Zone 4,64.0,Zone 5,32.7,Zone 4,62.9,Zone 5,46.5,Zone 5,65.6,Zone 5,60.7,Zone 5,67.6,Zone 5,64.0,Zone 5,69.1,Zone 5
2025-08-18 00:39:49,RAJASTHAN,SIROHI,SIROHI_KVK,23.1,85.0,23.7,Zone 3,41.2,Zone 5,23.7,Zone 3,38.0,Zone 4,29.1,Zone 4,52.9,Zone 5,34.3,Zone 4,60.4,Zone 5,41.2,Zone 5,62.8,Zone 5
2025-08-18 00:39:49,RAJASTHAN,SRI_GANGANAGAR,GHARSANA,32.0,73.0,39.9,Zone 4,66.4,Zone 5,39.9,Zone 4,65.5,Zone 5,59.5,Zone 5,67.8,Zone 5,63.6,Zone 5,69.6,Zone 6,66.4,Zone 5,73.1,Zone 6
2025-08-18 00:39:49,RAJASTHAN,UDAIPUR,UDAIPUR_AMFU,22.7,94.0,23.5,Zone 3,44.9,Zone 5,23.5,Zone 3,40.4,Zone 5,28.9,Zone 4,56.1,Zone 5,34.5,Zone 4,61.1,Zone 5,44.9,Zone 5,63.4,Zone 5
2025-08-18 00:39:49,RAJASTHAN,JHUNJHUNU,JHUNJHUNU(AWS),27.9,100.0,34.8,Zone 4,66.3,Zone 5,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-08-18 00:39:49,MAHARASHTRA,YAVATMAL,PUSHAD_AWS400,25.2,100.0,27.2,Zone 4,60.9,Zone 5,27.2,Zone 4,59.8,Zone 5,34.4,Zone 4,63.0,Zone 5,51.3,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
2025-08-18 00:39:49,RAJASTHAN,AJMER,CENTRAL_UNIVERSITY_KISHANGARH,27.9,96.0,33.9,Zone 4,65.3,Zone 5,33.9,Zone 4,64.4,Zone 5,54.9,Zone 5,66.8,Zone 5,62.3,Zone 5,68.7,Zone 5,65.3,Zone 5,71.1,Zone 6
2025-08-18 00:39:49,PUNJAB,SHAHID_BHAGAT_SINGH_NAGAR,BALACHAR_AMFU,25.4,99.0,28.1,Zone 4,61.6,Zone 5,28.1,Zone 4,60.5,Zone 5,35.4,Zone 4,63.5,Zone 5,54.6,Zone 5,65.8,Zone 5,61.6,Zone 5,67.5,Zone 5
2025-08-18 00:39:49,ODISHA,SAMBALPUR,DHANKAUDA,26.0,91.0,28.4,Zone 4,60.7,Zone 5,28.4,Zone 4,59.6,Zone 5,35.3,Zone 4,62.8,Zone 5,50.5,Zone 5,65.2,Zone 5,60.7,Zone 5,67.0,Zone 5
2025-08-18 00:39:49,ODISHA,SONEPUR,SONEPUR,26.3,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-08-18 00:39:49,ODISHA,SUNDERGARH,SUNDERGARH,27.2,88.0,30.1,Zone 4,61.8,Zone 5,30.1,Zone 4,60.7,Zone 5,37.1,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-08-18 00:39:49,PUDUCHERRY,KARAIKAL,KARAIKAL,27.4,99.0,33.0,Zone 4,65.1,Zone 5,33.0,Zone 4,64.2,Zone 5,53.6,Zone 5,66.7,Zone 5,62.1,Zone 5,68.5,Zone 5,65.1,Zone 5,70.7,Zone 6
2025-08-18 00:39:49,PUDUCHERRY,MAHE,MAHE_JNV,23.9,100.0,25.4,Zone 4,59.1,Zone 5,25.4,Zone 4,55.3,Zone 5,32.2,Zone 4,61.4,Zone 5,42.9,Zone 5,64.0,Zone 5,59.1,Zone 5,65.9,Zone 5
2025-08-18 00:39:49,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY,25.4,96.0,27.9,Zone 4,60.9,Zone 5,27.9,Zone 4,59.8,Zone 5,34.9,Zone 4,63.0,Zone 5,51.5,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
2025-08-18 00:39:49,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY_KVK,25.0,100.0,27.2,Zone 4,60.9,Zone 5,27.2,Zone 4,59.8,Zone 5,34.4,Zone 4,63.0,Zone 5,51.3,Zone 5,65.3,Zone 5,60.9,Zone 5,67.1,Zone 5
2025-08-18 00:39:49,PUNJAB,BATHINDA,BHATINDA_AMFU,28.8,6.0,26.4,Zone 4,36.4,Zone 4,26.4,Zone 4,36.0,Zone 4,30.0,Zone 4,39.1,Zone 4,33.3,Zone 4,42.0,Zone 4,36.4,Zone 4,44.8,Zone 4
2025-08-18 00:39:49,PUNJAB,FAZILKA,FASC_ABOHAR,28.0,100.0,34.8,Zone 4,66.3,Zone 5,34.8,Zone 4,65.3,Zone 5,59.2,Zone 5,67.7,Zone 5,63.4,Zone 5,69.3,Zone 5,66.3,Zone 5,72.8,Zone 6
2025-08-18 00:39:49,RAJASTHAN,AJMER,AJMER,29.4,82.0,35.1,Zone 4,64.6,Zone 5,35.1,Zone 4,63.6,Zone 5,50.4,Zone 5,66.2,Zone 5,61.4,Zone 5,68.1,Zone 5,64.6,Zone 5,69.8,Zone 6
2025-08-18 00:39:49,PUNJAB,FAZILKA,FAZILKA,27.4,100.0,33.2,Zone 4,65.4,Zone 5,33.2,Zone 4,64.4,Zone 5,54.9,Zone 5,66.9,Zone 5,62.3,Zone 5,68.7,Zone 5,65.4,Zone 5,71.1,Zone 6
2025-08-18 00:39:49,PUNJAB,HOSHIARPUR,DASUYA,26.6,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-08-18 00:39:49,PUNJAB,HOSHIARPUR,HOSIYARPUR,25.8,100.0,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
2025-08-18 00:39:49,PUNJAB,HOSHIARPUR,SALERN,26.1,100.0,29.3,Zone 4,62.7,Zone 5,29.3,Zone 4,61.6,Zone 5,39.3,Zone 5,64.5,Zone 5,59.1,Zone 5,66.6,Zone 5,62.7,Zone 5,68.2,Zone 5
2025-08-18 00:39:49,PUNJAB,MANSA,MANSA,27.6,16.0,25.6,Zone 4,36.4,Zone 4,25.6,Zone 4,35.8,Zone 4,29.5,Zone 4,39.1,Zone 4,33.0,Zone 4,42.2,Zone 4,36.4,Zone 4,45.2,Zone 4
2025-08-18 00:39:49,PUNJAB,PATHANKOT,KVK_PATHANKOT,26.6,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
2025-08-18 00:39:49,PUNJAB,PATHANKOT,THEIN_DAM,25.6,100.0,28.2,Zone 4,61.8,Zone 5,28.2,Zone 4,60.7,Zone 5,35.6,Zone 4,63.7,Zone 5,55.5,Zone 5,65.9,Zone 5,61.8,Zone 5,67.7,Zone 5
2025-08-18 00:39:49,PUNJAB,ROPAR,ROPAR_KVK,26.4,100.0,30.5,Zone 4,63.6,Zone 5,30.5,Zone 4,62.5,Zone 5,44.2,Zone 5,65.3,Zone 5,60.2,Zone 5,67.3,Zone 5,63.6,Zone 5,68.8,Zone 5
